Row#,specobjid,ra,dec,class,subclass,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,sii_6731_flux,oi_6300_flux
603,299591382270502912,145.59891,0.84379434,GALAXY,,18.3382,6.17617,-1.798602,2.94357,1.805989,0.4413136
604,299591656678647808,145.67367,0.94780421,QSO,BROADLINE,0,50.9057,496.5276,0,0,0
605,299591657148409856,145.84294,0.74785818,GALAXY,,66.95496,9.366003,15.62463,36.37386,8.677031,2.090163
606,299591931556554752,145.61284,0.97233302,GALAXY,STARFORMING,395.2715,106.1972,58.85557,131.1818,66.31698,9.373138
607,299591932026316800,145.79341,1.1856538,GALAXY,AGN,133.8752,21.15593,46.37664,138.9239,66.47538,46.53567
608,299592206434461696,145.86812,0.82938446,GALAXY,,59.31889,6.426092,7.276679,34.05165,8.110294,6.601654
609,299592206904223744,145.64213,0.97197048,GALAXY,,53.64807,12.35284,5.664312,15.0836,5.145792,1.589613
610,299592481312368640,145.64213,0.97197048,GALAXY,,51.88493,12.61961,5.496216,18.72568,15.8145,-5.41189
611,299592481782130688,145.7134,1.167356,GALAXY,,0,72.68593,26.1153,0,0,7.775146
612,299592756190275584,145.85052,1.203525,GALAXY,,11.65633,5.826772,20.95782,7.808607,-0.0890441,-6.030037
613,299592756660037632,145.56952,0.75237106,GALAXY,,-0.03877715,-0.162485,-0.5189327,0.3957209,0,0
614,299593031068182528,145.56952,0.75237106,QSO,,0,10.741,-5.307638,0,0,3.704163
615,299593031537944576,145.59509,1.0056251,GALAXY,,0,0.8803274,4.449273,0,0,-1.500389
616,299593580823996416,145.5446,0.93933415,GALAXY,,20.37008,4.174603,7.367661,27.32883,-0.9691752,-7.868973
617,299593581293758464,145.66358,0.97364599,GALAXY,STARFORMING,600.7238,129.7674,26.49664,234.5796,68.57773,18.119
618,299593855701903360,145.86626,1.1416569,GALAXY,,-4.021035,-0.4662221,-1.899221,4.289655,51.24226,-5.860616
619,299593856171665408,145.67367,0.94780421,QSO,BROADLINE,0,87.7849,533.7894,0,0,0
620,299594130579810304,145.59403,0.30938427,GALAXY,STARFORMING,618.8243,122.8822,35.74907,280.4643,86.75212,22.87899
621,299594131049572352,145.49682,0.7331675,GALAXY,,0,-0.7184471,2.456501,0,0,73.94985
622,299594405457717248,145.42138,0.53370588,GALAXY,,9.057863,10.64674,7.972374,6.867342,-1.854598,-0.5351459
623,299594405927479296,145.43387,0.56413952,GALAXY,,48.74673,29.72382,1.515327,23.91367,3.81349,2.925282
624,299594680335624192,145.55448,0.22326714,GALAXY,STARFORMING,103.4862,17.64986,14.00304,31.19153,15.25738,0.5065871
625,299594680805386240,145.59403,0.30938427,GALAXY,STARFORMING,586.3332,113.9731,37.4241,269.3496,83.99057,26.07836
626,299594955213531136,145.43387,0.56413952,GALAXY,,32.46984,11.44366,-0.5657492,19.28306,1.525218,-3.336611
627,299594955683293184,145.53343,0.72985508,GALAXY,,14.42867,-1.27336,-2.822245,2.095728,-8.370965,0.7986282
628,299595230561200128,145.63365,0.62077958,GALAXY,,84.42124,16.70062,14.63298,70.80495,28.12267,0.8576143
629,299595504969345024,145.53343,0.72985508,GALAXY,,-11.29023,0.4224616,-1.20023,4.276166,11.34213,6.253946
630,299595505439107072,145.55448,0.22326714,GALAXY,,108.3145,14.00578,5.67854,47.27875,11.17566,0.4102935
631,299595779847251968,145.49682,0.7331675,GALAXY,,0,-2.45084,-3.416281,0,0,5.750315
632,299595780317014016,145.51241,0.33917087,GALAXY,STARBURST,153.8173,35.59267,3.656026,39.80714,11.71782,1.011221
633,299596055194920960,145.42138,0.53370588,GALAXY,,4.666764,1.230606,2.880153,0.8077253,4001.766,0.5307474
634,299596329603065856,145.63365,0.62077958,GALAXY,,87.17911,17.94516,4.961571,79.50763,28.08211,5.147807
635,299596604480972800,145.57687,0.23361317,GALAXY,,45.6236,12.78566,7.679917,29.34092,7.056921,3.963303
636,299596879358879744,145.49927,0.12144706,GALAXY,,11.32906,4.634539,6.599864,2.766811,-1.926763,0.6495622
637,299596879828641792,145.49927,0.12144706,GALAXY,,24.04841,4.15431,-1.227975,1.698681,1.038326,3.468482
638,299597154236786688,145.47131,0.15515025,GALAXY,AGN,573.3648,108.1491,457.2799,523.2604,98.75305,34.99803
639,299597154706548736,145.47131,0.15515025,GALAXY,AGN,576.2369,121.3313,452.449,520.5421,110.1778,30.3217
640,299597429114693632,145.43888,0.14695969,GALAXY,,4.078526,2.907725,-0.5273626,3.342633,1.915833,-0.7941849
641,299597429584455680,145.57687,0.23361317,GALAXY,,55.26268,16.36924,11.0588,28.07235,3.910598,1.624012
642,299597703992600576,145.51241,0.33917087,GALAXY,STARBURST,145.2406,34.59045,4.021027,38.72347,11.42728,1.412207
643,299597978870507520,145.55565,0.18343852,GALAXY,,92.75784,20.88762,5.340964,36.0518,13.86328,9.11404
644,299598529096083456,145.55632,0.23846866,GALAXY,,17.2999,3.598743,-4.532501,8.483975,1.974856,0.3284778
645,299598803973990400,145.54734,0.35561588,GALAXY,,0,0,0,0,0,0
646,299599078382135296,145.55632,0.23846866,GALAXY,,19.2002,1.644889,6.665781,19.45168,9.945575,-0.9979128
647,299599078851897344,145.55565,0.18343852,GALAXY,STARFORMING,96.39385,29.89396,14.3692,47.33845,15.94963,3.958668
648,299599353729804288,145.43888,0.14695969,GALAXY,,5.120512,2.587523,-1.393871,4.149468,1.606529,-0.2330923
649,299599628137949184,145.89128,1.1165244,GALAXY,STARBURST,3334.863,953.7944,2399.147,441.7446,310.099,77.49841
650,299599628607711232,145.88081,1.0470699,GALAXY,,0,4.276292,0.08385868,0,0,-3.023818
651,299599903015856128,146.01513,0.8235057,GALAXY,AGN,91.34014,25.70342,31.13327,71.05056,29.1194,14.56623
652,299599903485618176,146.06725,1.1094246,GALAXY,,1.708819,-0.6079508,7.978924,10.78618,-8.731503,0.7407377
653,299600177893763072,145.87525,0.91247639,GALAXY,,16.92544,5.92662,12.83879,31.11426,1.228969,5.311231
654,299600178363525120,145.99263,0.78807767,GALAXY,STARFORMING,993.2001,214.1007,107.3838,380.6035,83.85831,13.24785
655,299600452771670016,146.00114,1.2461454,GALAXY,,11.64001,2.702405,1.72997,4.47121,-0.6189364,-0.1961543
656,299600453241432064,146.00114,1.2461454,GALAXY,,34.74698,9.504497,8.494142,-28.0243,-9.478426,2.113266
657,299600727649576960,146.06725,1.1094246,GALAXY,,19.52184,0.9578854,9.824777,-9.034779,17.32344,4.545297
658,299600728119339008,146.05906,1.0485111,QSO,BROADLINE,0,272.7711,136.8835,0,0,0
659,299601002527483904,146.02566,1.0713275,GALAXY,,0,-0.4414304,0.9163564,0,0,10.60039
660,299601002997245952,145.9506,1.0651305,GALAXY,,11.92738,7.173747,5.00471,11.10045,0.3851474,0.364838
661,299601277875152896,145.89128,1.1165244,GALAXY,STARBURST,3601.152,998.5123,2524.677,441.258,307.0977,74.35032
662,299601552283297792,145.88615,1.1964676,GALAXY,STARFORMING,167.7805,34.4959,18.03933,84.28458,18.23811,10.28551
663,299601552753059840,145.9373,1.1418559,GALAXY,,25.96159,8.066994,11.83508,20.2083,4.059365,4.972737
664,299601827161204736,145.96966,0.83091776,GALAXY,,4.226601,6.488245,11.62119,12.05609,-4.219917,5.183028
665,299602102039111680,145.9373,1.1418559,GALAXY,,35.76172,13.71301,7.058358,30.33285,8.639719,2.203492
666,299602102508873728,145.88615,1.1964676,GALAXY,,163.3555,32.48492,7.564551,89.41029,19.57387,2.352335
667,299602376917018624,145.87188,0.87375974,GALAXY,,24.06119,6.905391,36.79792,44.15765,22.37941,16.48787
668,299602377386780672,146.01513,0.8235057,GALAXY,AGN,102.78,20.05196,35.29883,74.64108,28.2061,9.204659
669,299602651794925568,146.01225,0.76563817,GALAXY,STARBURST,691.8965,223.9568,192.3632,147.6194,71.84902,10.8408
670,299602652264687616,145.96966,0.83091776,GALAXY,,3.752143,7.037226,1.013874,6.617826,-7.497029,-0.4601218
671,299602926672832512,145.98157,0.95657553,QSO,,0,0,0,0,0,0
672,299602927142594560,146.01225,0.76563817,GALAXY,STARBURST,725.4607,214.1368,197.4061,161.5144,72.2782,9.143567
673,299603201550739456,146.08224,1.0348001,GALAXY,,90.14246,21.06463,7.744016,57.38767,12.5212,3.593071
674,299603202020501504,146.02566,1.0713275,GALAXY,,0,-3.137164,-3.964453,0,0,-1.50882
675,299603476428646400,146.04623,0.76611923,GALAXY,,35.37207,9.56004,0.9423525,7.058778,5.197702,-1.039767
676,299603476898408448,146.04623,0.76611923,GALAXY,,15.46783,3.500082,-0.03434011,8.500541,3.64655,0.1842147
677,299603751306553344,145.99263,0.78807767,GALAXY,STARFORMING,989.9269,211.8941,105.9989,376.5086,81.65948,13.48052
678,299603751776315392,145.87525,0.91247639,GALAXY,,16.18747,-1.712438,6.490252,37.54305,3.921211,0.2612451
679,299604026184460288,146.05906,1.0485111,QSO,BROADLINE,0,262.7217,131.1621,0,0,0
680,299604026654222336,146.08224,1.0348001,GALAXY,STARFORMING,85.25614,24.45117,10.23484,51.76315,9.556328,3.879109
681,299604301062367232,145.89356,1.0284222,GALAXY,STARFORMING,264.6972,64.40752,19.75804,83.51193,34.98269,9.376
682,299604301532129280,145.87188,0.87375974,GALAXY,AGN,26.30256,8.741755,29.95322,50.05048,8.552696,13.56121
683,299604575940274176,145.9506,1.0651305,GALAXY,,14.19097,-0.7878528,2.768108,8.577909,1.011796,-4.065028
684,299604850818181120,145.88081,1.0470699,GALAXY,,0,6.56121,-5.298496,0,0,-16.16186
685,299604851287943168,145.89356,1.0284222,GALAXY,STARFORMING,267.5282,61.06378,21.92434,86.58644,37.57005,5.910673
686,299605125696088064,145.74324,0.46346691,GALAXY,,5.313396,1.153965,5.025119,16.97497,2.444012,-0.4335899
687,299605126165850112,145.79884,0.6504951,GALAXY,,9.407056,6.191539,13.71255,12.23062,-2.045925,10.00755
688,299605400573995008,145.8475,0.67573036,GALAXY,,57.89331,15.28071,55.17836,47.925,13.12788,5.305334
689,299605401043757056,145.8475,0.67573036,GALAXY,,50.1729,12.10792,57.39756,38.07753,22.73436,5.373271
690,299605675451901952,145.64564,0.50959376,GALAXY,,48.75008,9.46492,-2.236825,13.60291,8.271506,89.25642
691,299605675921664000,145.72685,0.49792299,GALAXY,,0,0,0,0,0,0
692,299605950329808896,145.6607,0.6338449,GALAXY,,0,7.862883,24.87016,0,0,2.237958E+09
