Row#,specobjid,ra,dec,class,subclass,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,sii_6731_flux,oi_6300_flux
696,299593580823996416,145.5446,0.93933415,GALAXY,,20.37008,4.174603,7.367661,27.32883,-0.9691752,-7.868973
697,299593581293758464,145.66358,0.97364599,GALAXY,STARFORMING,600.7238,129.7674,26.49664,234.5796,68.57773,18.119
698,299593855701903360,145.86626,1.1416569,GALAXY,,-4.021035,-0.4662221,-1.899221,4.289655,51.24226,-5.860616
699,299593856171665408,145.67367,0.94780421,QSO,BROADLINE,0,87.7849,533.7894,0,0,0
700,299594130579810304,145.59403,0.30938427,GALAXY,STARFORMING,618.8243,122.8822,35.74907,280.4643,86.75212,22.87899
701,299594131049572352,145.49682,0.7331675,GALAXY,,0,-0.7184471,2.456501,0,0,73.94985
702,299594405457717248,145.42138,0.53370588,GALAXY,,9.057863,10.64674,7.972374,6.867342,-1.854598,-0.5351459
703,299594405927479296,145.43387,0.56413952,GALAXY,,48.74673,29.72382,1.515327,23.91367,3.81349,2.925282
704,299594680335624192,145.55448,0.22326714,GALAXY,STARFORMING,103.4862,17.64986,14.00304,31.19153,15.25738,0.5065871
705,299594680805386240,145.59403,0.30938427,GALAXY,STARFORMING,586.3332,113.9731,37.4241,269.3496,83.99057,26.07836
706,299594955213531136,145.43387,0.56413952,GALAXY,,32.46984,11.44366,-0.5657492,19.28306,1.525218,-3.336611
707,299594955683293184,145.53343,0.72985508,GALAXY,,14.42867,-1.27336,-2.822245,2.095728,-8.370965,0.7986282
708,299595230561200128,145.63365,0.62077958,GALAXY,,84.42124,16.70062,14.63298,70.80495,28.12267,0.8576143
709,299595504969345024,145.53343,0.72985508,GALAXY,,-11.29023,0.4224616,-1.20023,4.276166,11.34213,6.253946
710,299595505439107072,145.55448,0.22326714,GALAXY,,108.3145,14.00578,5.67854,47.27875,11.17566,0.4102935
711,299595779847251968,145.49682,0.7331675,GALAXY,,0,-2.45084,-3.416281,0,0,5.750315
712,299595780317014016,145.51241,0.33917087,GALAXY,STARBURST,153.8173,35.59267,3.656026,39.80714,11.71782,1.011221
713,299596055194920960,145.42138,0.53370588,GALAXY,,4.666764,1.230606,2.880153,0.8077253,4001.766,0.5307474
714,299596329603065856,145.63365,0.62077958,GALAXY,,87.17911,17.94516,4.961571,79.50763,28.08211,5.147807
715,299596604480972800,145.57687,0.23361317,GALAXY,,45.6236,12.78566,7.679917,29.34092,7.056921,3.963303
716,299596604950734848,145.63729,0.37329958,STAR,F9,-24.01094,-7.771533,7.804259,-1.561049,13.82015,2.01158
717,299596879358879744,145.49927,0.12144706,GALAXY,,11.32906,4.634539,6.599864,2.766811,-1.926763,0.6495622
718,299596879828641792,145.49927,0.12144706,GALAXY,,24.04841,4.15431,-1.227975,1.698681,1.038326,3.468482
719,299597154236786688,145.47131,0.15515025,GALAXY,AGN,573.3648,108.1491,457.2799,523.2604,98.75305,34.99803
720,299597154706548736,145.47131,0.15515025,GALAXY,AGN,576.2369,121.3313,452.449,520.5421,110.1778,30.3217
721,299597429114693632,145.43888,0.14695969,GALAXY,,4.078526,2.907725,-0.5273626,3.342633,1.915833,-0.7941849
722,299597429584455680,145.57687,0.23361317,GALAXY,,55.26268,16.36924,11.0588,28.07235,3.910598,1.624012
723,299597703992600576,145.51241,0.33917087,GALAXY,STARBURST,145.2406,34.59045,4.021027,38.72347,11.42728,1.412207
724,299597704462362624,145.40905,0.30596715,STAR,A0,-1.206049,-0.3474787,-0.05480765,0.2637783,1.206833,-0.06977174
