Row#;specobjid;ra;dec;class;subclass;h_alpha_flux;h_beta_flux;oiii_5007_flux;nii_6584_flux;sii_6731_flux;oi_6300_flux
1307;300648837209417000.0;14821427.0;-10016697.0;GALAXY;;1659008.0;5459432.0;3904142.0;3209117.0;2860162.0;1562177.0
1308;300649112087324000.0;14794455.0;-122337.0;GALAXY;STARFORMING;1226432.0;2112342.0;9245537.0;5613741.0;9679518.0;30021.0
1309;300649386965231000.0;14809525.0;-11431802.0;GALAXY;STARFORMING;1027766.0;313578.0;2825503.0;1622527.0;1812416.0;4666993.0
1310;300649661843138000.0;14792786.0;-.957;GALAXY;;5147429.0;3357568.0;1586487.0;3463062.0;7613285.0;3186994.0
1311;300649936721045000.0;14812154.0;-10319943.0;GALAXY;;4130639.0;9136196.0;-.013;2040303.0;-307516.0;-1066201.0
1312;300650211598952000.0;14801223.0;-12109547.0;GALAXY;;3924729.0;6324595.0;1641809.0;5303069.0;4804509.0;3071385.0
1313;300650486476859000.0;1481694.0;-11243151.0;STAR;G2;-1097622.0;5176232.0;-4012894.0;1653147.0;-253083.0;194536.0
1314;300650761354766000.0;1482123.0;-11734604.0;GALAXY;AGN;1451428.0;3698163.0;324646.0;9051871.0;2732472.0;1159645.0
1315;300651036232673000.0;14799099.0;-11068001.0;GALAXY;STARBURST;1732984.0;4262533.0;1775252.0;7545494.0;2157513.0;4420701.0
1316;300651311110580000.0;14806218.0;-.661;GALAXY;;2290122.0;8422595.0;405454.0;1742715.0;.70;1453751.0
1317;300651585988487000.0;14800631.0;-10176983.0;GALAXY;STARFORMING;1350494.0;2757534.0;3533691.0;8254055.0;3138069.0;1305377.0
1318;300651860866394000.0;1480682.0;-.705;GALAXY;;2440374.0;1172218.0;2396125.0;17928.0;4158709.0;.388
1319;300652135744301000.0;14815747.0;-.826;GALAXY;;9511441.0;-.107;-.667;682297.0;.0;126655.0
1320;300652410622208000.0;14800219.0;-.784;GALAXY;STARFORMING;146121.0;2937436.0;1306574.0;5443324.0;1466876.0;6875078.0
1321;300652685500114000.0;14796518.0;-.949;GALAXY;;423313.0;8133514.0;375212.0;1763593.0;7029547.0;171775.0
1322;300652960378021000.0;14800553.0;-.768;GALAXY;;2628152.0;2146141.0;3466607.0;1633265.0;7974649.0;1045507.0
1323;300653235255928000.0;14804897.0;-.852;GALAXY;STARFORMING;3831564.0;6166449.0;1871664.0;1408203.0;3867274.0;1393759.0
1324;300653510133835000.0;14808281.0;-.958;GALAXY;;.0;.0;.0;.0;.0;.0
1325;300653785011742000.0;14803294.0;-11427995.0;GALAXY;;1364809.0;2234612.0;5273117.0;1496109.0;2578014.0;1473932.0
1326;300654059889649000.0;14865027.0;-.060;GALAXY;;1759731.0;-.439;79495.0;8932499.0;.0;-7785942.0
1327;300654334767556000.0;14854937.0;-.066;GALAXY;STARFORMING;1584125.0;4271885.0;438336.0;2702734.0;2598217.0;7311999.0
1328;300654609645463000.0;14847822.0;-.544;GALAXY;;3352206.0;2559297.0;2622021.0;.613;.612;1846745.0
1329;300654884523370000.0;14867172.0;-.371;GALAXY;;7513715.0;1558275.0;7306343.0;1702369.0;1565135.0;3942791.0
1330;300655159401277000.0;14842037.0;-.232;GALAXY;;216208.0;1335145.0;4440578.0;5433143.0;-2624953.0;.440
1331;300655434279184000.0;14858493.0;-.311;GALAXY;STARFORMING;3928343.0;1530469.0;2122053.0;6298053.0;7093342.0;.835
1332;300655709157091000.0;14850575.0;-.114;GALAXY;;4256665.0;3797814.0;1027964.0;4281172.0;2486641.0;354107.0
1333;300655984034998000.0;14865765.0;-.60;GALAXY;;5146577.0;1142934.0;6092782.0;5215194.0;8279478.0;4188266.0
1334;300656533790812000.0;14853234.0;-.382;STAR;G2;-6355935.0;-1988631.0;7762597.0;-6543419.0;1830221.0;-1025904.0
1335;300657083546626000.0;14872889.0;.189;GALAXY;STARBURST;1964521.0;4483024.0;1976693.0;5654558.0;26015.0;3835054.0
1336;300657358424532000.0;14843474.0;-.090;GALAXY;STARFORMING;6497175.0;1348891.0;4089649.0;3299208.0;9646764.0;3414533.0
1337;300657633302439000.0;14859294.0;-.196;GALAXY;;2096628.0;5699574.0;-.587;1214473.0;4902006.0;-1243577.0
1338;300657908180346000.0;14867968.0;-.025;GALAXY;STARBURST;3257952.0;7937543.0;9202532.0;107846.0;3565143.0;4300614.0
1339;300658183058253000.0;14860004.0;.129;GALAXY;STARFORMING;106197.0;217133.0;6434322.0;4379079.0;1411031.0;1875408.0
1340;300658457936160000.0;14858999.0;.153;GALAXY;STARFORMING;7162463.0;1858035.0;7454234.0;3149483.0;8937484.0;3848966.0
1341;300658732814067000.0;14869239.0;.042;GALAXY;STARBURST;7338729.0;209273.0;3668779.0;1267331.0;7844872.0;2083839.0
1342;300659007691974000.0;14872793.0;-.371;GALAXY;;-7745307.0;9030578.0;6128597.0;7579255.0;-2701671.0;1192873.0
1343;300659282569881000.0;14868383.0;-.344;GALAXY;;866234.0;1280424.0;1801209.0;1579116.0;5033523.0;-811583.0
1344;300659557447788000.0;14810352.0;-.462;GALAXY;STARFORMING;2836448.0;7057777.0;2334986.0;1068202.0;3612083.0;9128121.0
1345;300659832325695000.0;14821834.0;-.277;GALAXY;;173271.0;6886128.0;4218542.0;1152893.0;-.527;1987152.0
1346;300660107203602000.0;14828484.0;-.619;GALAXY;;.0;1346008.0;.430;.0;.0;7493251.0
1347;300660382081509000.0;14818303.0;-.058;GALAXY;STARFORMING;5597024.0;1293916.0;2406569.0;1997853.0;4656064.0;114854.0
1348;300660931837323000.0;14813318.0;-.525;GALAXY;;2384202.0;5189563.0;9388858.0;3178277.0;-1721706.0;.336
1349;300661206715230000.0;14813563.0;-.342;GALAXY;;2327724.0;5027421.0;1346952.0;2117114.0;1332496.0;8734525.0
1350;300662031348951000.0;14811417.0;-.493;GALAXY;;1259289.0;3587182.0;1242327.0;4749297.0;3780153.0;1492056.0
1351;300662306226857000.0;14832486.0;.115;GALAXY;;-.036;.780;.496;2175103.0;-.074;.015
1352;300662581104764000.0;14840568.0;-.041;GALAXY;STARBURST;6617244.0;1358446.0;6287858.0;2578566.0;9049993.0;2539231.0
1353;300662855982671000.0;14824054.0;.118;GALAXY;STARFORMING;2058799.0;469252.0;1682545.0;7137787.0;2075451.0;4276676.0
1354;300663130860578000.0;14834596.0;-.166;GALAXY;BROADLINE;.0;4517895.0;1395024.0;.0;.0;.0
1355;300663405738485000.0;14828257.0;.049;GALAXY;;1328713.0;3570558.0;4742177.0;765081.0;5454338.0;-200096.0
1356;300663680616392000.0;14835715.0;-.019;GALAXY;;.0;-3937898.0;-.349;8445959.0;.0;-3226071.0
1357;300663955494299000.0;14838949.0;-.035;STAR;F9;-5080892.0;-1275359.0;.261;.091;1017132.0;6777333.0
1358;300664230372206000.0;14812516.0;-.418;GALAXY;STARFORMING;1510803.0;3235971.0;1938296.0;1029211.0;2237871.0;5466447.0
1359;300664505250113000.0;14823615.0;-.174;GALAXY;;8804842.0;1467961.0;.866;-2961992.0;9887729.0;.412
1360;300664780128020000.0;14808477.0;-.147;GALAXY;;4549737.0;7567381.0;4273575.0;2185881.0;1066698.0;2717897.0
1361;300665055005927000.0;1478307.0;-.176;GALAXY;STARFORMING;1427995.0;3872056.0;6189884.0;2031067.0;219203.0;8183682.0
1362;300665329883834000.0;14772827.0;.136;GALAXY;STARFORMING;1666004.0;4860486.0;3317283.0;636263.0;3451288.0;7932168.0
1363;300665604761741000.0;14792467.0;-.239;GALAXY;STARFORMING;3020594.0;6628398.0;2885373.0;1159089.0;4656725.0;1129842.0
1364;300665879639648000.0;14805021.0;-.086;GALAXY;;4746438.0;-1409647.0;1362112.0;-2714367.0;-6591345.0;.273
1365;300666154517555000.0;1478615.0;-.266;GALAXY;BROADLINE;7471578.0;.198;6252464.0;-5599096.0;2652701.0;7025678.0
1366;300666429395462000.0;14786306.0;-.168;GALAXY;STARFORMING;322898.0;6862122.0;1456087.0;1077153.0;3197141.0;2162318.0
1367;300666704273369000.0;14793709.0;-.271;GALAXY;;.0;3909811.0;171694.0;.0;.0;4793805.0
1368;300666979151276000.0;14778785.0;.010;GALAXY;AGN;2136901.0;4174068.0;7188594.0;2195685.0;.0;1819024.0
1369;300667254029182000.0;14790346.0;-.318;GALAXY;;1509513.0;3489052.0;2664145.0;8992256.0;4151113.0;1213378.0
1370;300667528907089000.0;14769322.0;.131;GALAXY;STARFORMING;1898785.0;3790817.0;1252935.0;8556366.0;2300072.0;6627734.0
1371;300668078662903000.0;14781013.0;-.711;GALAXY;;.0;.0;.0;.0;.0;.0
1372;300668353540810000.0;14785775.0;-.044;GALAXY;STARFORMING;1135525.0;2964138.0;1094909.0;3702156.0;2119785.0;35141.0
1373;300668628418717000.0;14789962.0;-.215;GALAXY;STARFORMING;1093874.0;2016314.0;5620355.0;5424135.0;1086336.0;669549.0
