Row#,specobjid,ra,dec,class,subclass,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,sii_6731_flux,oi_6300_flux
10445,318652521369331712,176.40938,-0.85330503,GALAXY,,15.01966,-3.125688,-6.054942,-7.167488,-7.770532,5.423299
10446,318652796247238656,176.39206,-0.90591336,GALAXY,,22.96428,6.135567,14.53003,45.03175,5.594268,5.121183
10447,318653071125145600,176.3421,-1.0416935,GALAXY,,30.34228,6.212,10.20145,20.62655,4.36583,0.2555471
10448,318653346003052544,176.48475,-1.2017422,GALAXY,AGN,358.6253,61.17194,85.90006,262.5775,53.52092,18.19831
10449,318653895758866432,176.43731,-1.180119,GALAXY,,6.457563,0.2447341,4.664472,3.057904,-0.2896323,5.36245
10450,318654170636773376,176.42859,-1.0684184,GALAXY,,61.44468,10.83288,15.51028,65.90464,25.9268,9.818684
10451,318654445514680320,176.49594,-1.2451431,GALAXY,STARFORMING,45.38557,10.67095,9.671555,30.79228,7.843427,8.574867
10452,318655270148401152,176.43509,-0.87910452,GALAXY,,2.65171,3.986108,3.952659,22.25038,-4.874184,-5.415167
10453,318655545026308096,176.39498,-1.0162717,GALAXY,,12.22945,5.795065,4.584415,11.20714,1.087929,0.1081982
10454,318655819904215040,176.51835,-1.1038134,GALAXY,,28.42434,3.837937,6.301007,15.6691,1.406869,-0.6078711
10455,318656094782121984,176.33124,-0.84827004,GALAXY,,22.99575,2.297995,10.58957,10.74864,0.9797429,1.910578
10456,318656369660028928,176.51998,-1.0869554,GALAXY,STARBURST,176.8738,45.72933,28.77873,46.27053,24.30244,4.864315
10457,318656644537935872,176.3205,-0.83391411,GALAXY,,0,2.049888,-0.3922106,0,0,5.157601
10458,318656919415842816,176.47114,-0.87978524,GALAXY,BROADLINE,15.42666,10.10005,3.979454,25.86598,0.5399202,1.811489
10459,318657194293749760,176.41237,-0.97200421,GALAXY,,3.64749,2.543063,2.230915,-3.149646,0,-6.585639
10460,318657469171656704,176.82245,-0.5845429,GALAXY,,336665.9,4.967441,1.69106,-5.140879,0,-0.8457816
10461,318657744049563648,176.90389,-0.79161553,GALAXY,STARFORMING,124.0548,33.40717,20.20475,31.7812,19.26551,4.167995
10462,318658018927470592,176.87883,-0.78043384,GALAXY,STARFORMING,317.9683,72.42681,23.71737,108.0423,41.37702,9.255849
10463,318658293805377536,176.83812,-0.7949496,GALAXY,,7.682716,-0.8678889,-10.43546,-3.020391,-3.445894,-0.03113697
