fnu_12,fnu_60,rat_25_60,ra,dec
0.25,1.14,0.2193,281.7990,25.8029
0.25,1.06,0.2358,282.2499,-48.5265
0.25,0.48,0.5417,282.5077,-61.7188
0.25,0.69,0.3913,282.4759,-59.2525
0.25,1.42,0.1761,282.3524,-48.7688
0.25,0.40,0.7250,280.5371,79.7716
0.25,1.92,0.1406,282.3329,-43.9977
0.25,0.71,0.3521,282.1256,23.1581
0.25,0.42,0.6190,282.9219,-58.8162
0.25,0.53,0.4717,282.8468,-52.5899
0.25,1.96,0.1480,282.2553,47.6583
0.26,2.95,0.0847,283.0068,-57.3215
0.25,0.40,0.6250,283.1705,-63.2635
0.25,0.42,0.5952,283.2192,-59.2517
0.25,0.40,0.8500,280.9874,81.7402
0.25,4.26,0.1972,282.9079,23.6346
0.25,0.84,0.2976,282.9806,26.4872
0.25,0.41,0.6098,282.7313,55.7599
0.26,0.63,0.4603,283.4097,-40.0147
0.25,0.65,0.4615,354.2776,-20.4639
0.51,0.38,1.2632,354.2732,18.9721
0.41,0.48,0.5208,354.3153,31.8010
0.28,0.50,0.5000,354.3362,4.9027
0.25,0.70,0.3571,354.3080,49.5571
0.25,0.92,0.2717,354.4531,-47.7269
0.25,0.97,0.3093,354.4395,14.7055
0.34,0.69,0.3623,354.5065,-22.9766
0.50,1.10,0.2273,354.4973,31.9953
0.64,0.52,0.5192,354.4980,31.6261
0.25,0.55,0.7455,354.5183,1.5622
0.25,1.57,0.2675,354.5560,-20.7816
0.25,0.70,0.3571,354.5548,32.3367
0.25,0.40,0.8750,354.5685,12.2281
0.25,1.29,0.2093,354.6180,4.8037
0.25,0.85,0.4235,354.6721,15.9565
0.50,3.54,0.2401,354.7043,-6.5163
0.25,0.99,0.3636,354.7107,4.4296
0.37,4.19,0.1098,354.7374,-12.9621
0.29,0.45,0.9778,354.7982,5.4852
0.25,0.91,0.3407,354.8212,-4.5354
0.25,0.40,0.6250,354.8100,27.1340
0.34,0.40,0.7250,354.8291,4.4152
0.27,0.63,0.4921,354.8858,-22.4128
0.51,1.33,0.1880,355.1058,-44.5124
0.73,0.50,0.8600,355.0936,4.0136
0.25,0.44,0.7727,355.0962,43.2616
0.25,0.50,0.5000,355.1631,20.4423
0.25,1.82,0.1868,355.1926,-20.5082
0.25,0.94,0.3404,355.2808,-1.0377
0.35,0.78,0.4231,355.2903,-6.6040
0.25,0.96,0.5312,355.3702,4.1724
0.42,0.51,0.4902,355.3502,47.7826
0.25,0.74,0.3919,355.3909,3.7263
0.25,1.52,0.6316,355.4463,-1.3495
0.75,0.43,0.5814,355.4773,30.5790
0.37,4.82,0.1680,355.4977,-3.6176
0.25,1.84,0.2663,355.5025,-4.2167
0.25,1.21,0.2727,355.5136,4.3105
0.25,0.85,0.3647,355.5751,27.3210
0.25,1.24,0.2016,355.6619,-65.9485
0.25,0.78,0.3846,355.6543,-44.9022
0.46,0.85,0.3529,97.0560,35.4662
0.33,9.37,0.1537,96.8406,-47.1770
0.53,0.40,0.7500,97.7332,64.9777
0.25,0.97,0.2577,97.5867,-32.2801
0.77,0.32,1.9375,93.6647,-39.0562
0.26,0.40,0.6250,95.5777,80.1275
0.29,1.02,0.2451,94.0013,-26.7674
0.25,4.32,0.1458,96.2243,82.3177
0.25,0.95,0.2632,94.0282,-26.8053
0.77,10.58,0.1115,94.1069,-21.3742
0.25,0.90,0.2778,93.6932,-63.0021
0.25,1.06,0.2358,94.2390,-13.0869
0.25,0.46,0.8261,94.9747,66.7576
0.25,0.51,0.4902,95.0800,66.5840
0.25,0.54,0.4630,95.8846,78.5294
0.63,0.37,0.6757,94.4596,-21.0534
0.25,0.55,0.5273,94.9180,42.5577
0.25,0.34,1.7059,94.3238,-55.5498
0.25,1.61,0.1553,95.3254,63.0773
0.25,0.68,0.3676,94.7640,-16.9468
0.25,1.56,0.1218,94.6887,-35.3042
0.25,0.96,0.2604,95.1783,-16.0615
0.81,0.86,0.3837,95.7153,57.5590
0.25,1.23,0.2602,95.4563,27.1682
0.31,5.20,0.1192,95.2719,-20.0481
0.46,0.40,0.8250,95.7755,50.4107
0.31,3.24,0.1111,95.4591,0.3662
0.22,4.50,0.1178,95.0569,-57.5762
0.25,1.36,0.1838,95.3814,-22.0876
0.25,0.69,0.3623,96.2108,65.7310
0.25,1.60,0.1000,95.4925,-34.6919
1.26,0.40,0.6250,95.4800,-36.5716
0.28,0.59,0.4237,96.4128,65.3344
0.25,1.49,0.1678,96.1738,50.9783
0.25,0.65,0.4308,96.4744,64.7380
0.25,1.18,0.1441,95.4214,-59.7406
0.22,3.58,0.1285,96.2272,49.5080
0.25,0.50,0.5000,95.3832,-65.4141
0.25,2.36,0.1398,96.9979,74.3025
0.25,0.80,0.3125,95.9607,-23.1932
0.25,1.46,0.1370,95.9128,-35.6426
0.37,0.37,1.1081,95.3592,-70.1029
0.35,0.99,0.2525,95.9542,-33.0983
0.35,0.48,0.4375,95.9652,-32.2172
0.59,7.69,0.0949,91.4278,-86.6321
0.25,1.93,0.1295,96.7282,59.0773
1.83,48.38,0.0668,96.3297,7.5273
0.44,0.53,0.4717,96.7240,52.4479
0.28,0.60,0.4167,96.3988,-19.8122
0.25,0.57,0.4386,95.7879,-68.7327
0.28,0.49,0.5102,96.3960,-22.9420
0.25,0.50,0.8400,127.1332,17.4678
