galname;fnu_12;fnu_25;fnu_60;fnu_100;rat_12_25;rat_25_60;rat_60_100;ra;dec
04068-8413;25;26;50;146;9615;5200;3425;599645;-840959
04072-3032;25;32;39;133;7812;8205;2932;623029;-304156
04072-4942;25;25;42;183;10000;5952;2295;621746;-495801
04073-5852;30;25;50;128;12000;5000;3906;620807;-587521
04073-0130;25;25;84;347;10000;2976;2421;624828;-13736
04081-6255;25;31;45;194;8065;6889;2320;621912;-627961
04082-2344;28;21;214;471;13333;981;4544;625937;-236168
04087-1459;25;25;39;131;10000;6410;2977;627739;-148705
04088-5614;68;56;41;108;12143;13659;3796;624757;-561176
04089+8604;25;25;52;194;10000;4808;2680;666034;861913
04090+3447;25;26;232;416;9615;1121;5577;630649;349153
20236-3946;25;25;95;184;10000;2632;5163;3067316;-396151
20237-5149;38;35;59;144;10857;5932;4097;3068712;-516583
20246-5235;37;25;100;201;14800;2500;4975;3070909;-524266
20247-1900;25;29;40;125;8621;7250;3200;3069024;-188406
20264+2533;58;106;1116;1764;5472;950;6327;3071434;257318
20266+1030;25;25;41;149;10000;6098;2752;3072537;106763
20276-0803;25;26;98;183;9615;2653;5355;3075814;-78907
20277+0142;690;219;49;107;31507;44694;4579;3075609;18760
20287-3058;27;30;65;162;9000;4615;4012;3079690;-308010
20292+0122;25;25;41;352;10000;6098;1165;3079539;15419
20305-0211;38;45;596;1449;8444;755;4113;3082755;-20266
20305+0942;35;25;98;154;14000;2551;6364;3082487;98776
20317-5755;34;57;47;192;5965;12128;2448;3089279;-577438
20321-2530;36;34;66;143;10588;5152;4615;3087807;-253426
20334-3428;51;26;80;135;19615;3250;5926;3091572;-342932
20335-6721;25;25;140;394;10000;1786;3553;3095446;-671849
20345-2744;25;33;79;232;7576;4177;3405;3093879;-275728
20346-5217;25;25;70;357;10000;3571;1961;3095739;-521138
20361+0133;25;25;60;138;10000;4167;4348;3096595;17384
20362+1159;62;26;50;129;23846;5200;3876;3096513;121743
20383-3809;29;27;116;208;10741;2328;5577;3104025;-379852
20389-7709;25;25;58;183;10000;4310;3169;3112990;-769794
20407-6743;25;37;463;878;6757;799;5273;3113471;-675506
20407-1016;26;27;91;100;9630;2967;9100;3108729;-100921
20421-4342;25;25;73;207;10000;3425;3527;3113836;-435297
20422-1117;35;29;48;147;12069;6042;3265;3112553;-111032
09348-2156;25;25;69;130;10000;3623;5308;1442784;-221708
09348+1251;31;42;42;121;7381;10000;3471;1444005;126324
09350-2048;25;25;66;132;10000;3788;5000;1443456;-210254
09351+0259;25;42;215;503;5952;1953;4274;1444367;27586
09354+0945;26;34;175;571;7647;1943;3065;1445291;95242
09354-2148;72;25;42;102;28800;5952;4118;1444370;-220412
09357+3457;25;28;90;209;8929;3111;4306;1446870;347259
09362+1715;25;47;178;360;5319;2640;4944;1447506;170275
09362+4838;25;25;157;463;10000;1592;3391;1448920;484229
09363+3232;25;25;154;211;10000;1623;7299;1448230;323113
09363+0710;25;25;128;346;10000;1953;3699;1447465;69555
09364-0437;25;26;57;385;9615;4561;1481;1447301;-48522
09364+3235;34;35;75;100;9714;4667;7500;1448506;323643
09365-6155;25;28;206;650;8929;1359;3169;1444636;-621486
09368+1144;25;41;60;137;6098;6833;4380;1448855;115104
09369-6315;28;77;663;1120;3636;1161;5920;1445567;-634867
09371-6136;25;25;166;623;10000;1506;2665;1446263;-618285
09371+4833;25;34;54;117;7353;6296;4615;1451137;483376
09371-6130;30;25;73;347;12000;3425;2104;1446396;-617388
09373-1107;25;25;44;156;10000;5682;2821;1449386;-113481
09374+6836;37;25;41;123;14800;6098;3333;1454177;683817
09375-6951;25;41;480;1008;6098;854;4762;1445814;-700922
09375+7955;81;25;48;130;32400;5208;3692;1459162;796969
09377+1346;25;35;78;149;7143;4487;5235;1451267;135423
09378+1948;42;45;45;112;9333;10000;4018;1451601;195797
09379+1206;25;57;129;333;4386;4419;3874;1451701;118877
09380+0348;26;33;77;174;7879;4286;4425;1451518;35766
09380+2541;25;31;71;187;8065;4366;3797;1452394;254720
09381+1146;30;33;56;138;9091;5893;4058;1452070;115534
09381+2125;25;31;116;291;8065;2672;3986;1452455;211931
09382+3606;25;31;161;451;8065;1925;3570;1453193;358822
09388+4814;48;51;81;100;9412;6296;8100;1455365;480133
09391+1343;108;36;43;112;30000;8372;3839;1454616;134916
09392+2354;28;43;63;106;6512;6825;5943;1455161;236840
09394-0822;25;25;106;269;10000;2358;3941;1454769;-86032
09394+0033;35;50;516;1508;7000;969;3422;1455139;3375
09395+0454;31;77;547;828;4026;1408;6606;1455460;46738
09396-0429;25;25;77;291;10000;3247;2646;1455470;-47184
09399+3204;65;134;1185;2392;4851;1131;4954;1457214;318477
09400-0328;25;26;48;160;9615;5417;3000;1456369;-37001
09401+6612;25;29;218;418;8621;1330;5215;1460367;659775
22164-2839;25;28;352;604;8929;795;5828;3348105;-284040
22165-6539;74;25;31;100;29600;8065;3100;3350489;-654026
22166-3747;39;27;46;157;14444;5870;2930;3348869;-375345
22168-8029;25;25;117;205;10000;2137;5707;3355537;-802345
22170-2635;25;25;95;198;10000;2632;4798;3349581;-263415
22171+2908;34;51;656;1354;6667;777;4845;3348675;293950
22178-8014;25;25;125;498;10000;2000;2510;3357761;-799968
22179-4617;25;25;33;325;10000;7576;1015;3352456;-460393
22179+1841;27;26;66;123;10385;3939;5366;3350840;189416
22179-2455;38;46;416;736;8261;1106;5652;3351867;-246785
22181-4836;25;25;67;201;10000;3731;3333;3353074;-483533
22182-1822;63;27;63;136;23333;4286;4632;3352389;-181279
22183+4727;45;25;54;150;18000;4630;3600;3351033;477111
22185-8404;25;23;229;415;10870;1004;5518;3363607;-838177
22186+3302;26;66;92;271;3939;7174;3395;3352232;332961
22192-6001;67;25;64;143;26800;3906;4476;3356519;-597721
22193-4020;27;25;63;169;10800;3968;3728;3355703;-400903
22195-3853;28;56;47;137;5000;11915;3431;3356318;-386349
22198-2159;37;51;99;225;7255;5152;4400;3356507;-217362
22199-2736;25;32;54;163;7812;5926;3313;3356820;-273556
22200+3608;25;25;163;478;10000;1534;3410;3355587;363879
22201-2836;25;43;57;176;5814;7544;3239;3357394;-283480
22204+2931;26;25;76;100;10400;3289;7600;3356848;297736
22204-1547;25;37;209;420;6757;1770;4976;3357836;-155409
22204+3743;98;25;88;198;39200;2841;4444;3356690;379770
22207+3040;25;23;145;269;10870;1586;5390;3357527;309224
22210-0341;28;29;86;129;9655;3372;6667;3359137;-34315
22212+4055;25;41;98;206;6098;4184;4757;3358576;411799
22213+3036;25;25;67;185;10000;3731;3622;3359074;308619
22213-0419;25;25;125;227;10000;2000;5507;3359987;-40710
22216-2943;41;30;72;140;13667;4167;5143;3361090;-294739
22217+3310;25;25;226;437;10000;1106;5172;3360093;334365
22220-1356;25;34;51;159;7353;6667;3208;3361825;-136829
22220-7049;67;25;52;100;26800;4808;5200;3364835;-705675
22221+1748;157;42;313;474;37381;1342;6603;3361396;180668
22223-5010;25;26;59;107;9615;4407;5514;3363731;-499187
22225-3136;25;42;327;633;5952;1284;5166;3363384;-313534
22226+3834;25;25;136;293;10000;1838;4642;3362115;388289
22229-1012;48;67;62;125;7164;10806;4960;3363916;-99494
22231-1325;25;36;117;279;6944;3077;4194;3364428;-131665
22231-0512;46;36;67;100;12778;5373;6700;3364428;-49538
22233-3123;25;25;80;243;10000;3125;3292;3365465;-311452
22234-7945;25;25;40;146;10000;6250;2740;3370993;-795086
22236+4003;25;25;74;323;10000;3378;2291;3364683;403144
22237-7038;25;25;76;162;10000;3289;4691;3368856;-703867
22238-2507;25;25;82;208;10000;3049;3942;3366637;-248722
22244+3515;76;25;36;298;30400;6944;1208;3366857;355195
10231+1358;25;36;74;151;6944;4865;4901;1564471;137180
10232-3934;25;22;167;604;11364;1317;2765;1563690;-398265
10233+7140;25;20;211;466;12500;948;4528;1568088;714146
10234-4957;27;32;137;203;8438;2336;6749;1563629;-502135
10236-3238;25;25;61;159;10000;4098;3836;1564929;-329006
10237+2028;25;86;142;413;2907;6056;3438;1566192;202268
10237+4720;27;25;167;225;10800;1497;7422;1567005;470857
10238+0056;25;34;82;100;7353;4146;8200;1565926;6829
10239+4415;38;25;60;149;15200;4167;4027;1567244;440062
10240-6729;25;25;102;291;10000;2451;3505;1563880;-677453
10240-3442;25;25;79;229;10000;3165;3450;1565831;-349600
10241-4528;25;26;183;523;9615;1421;3499;1565554;-457352
10242-1847;25;25;73;164;10000;3425;4451;1566686;-190537
10243-2136;31;25;44;382;12400;5682;1152;1566899;-218660
10243-0017;25;30;63;169;8333;4762;3728;1567381;-5468
10245+2845;25;28;203;337;8929;1379;6024;1568275;285070
10245-2350;25;32;137;251;7812;2336;5458;1567341;-240902
10248+0129;25;45;118;195;5556;3814;6051;1568654;12435
10249-2517;5230;1968;378;199;26575;52063;18995;1568233;-255493
10250+1748;56;37;61;120;15135;6066;5083;1569363;175515
10250-1833;25;28;69;228;8929;4058;3026;1568724;-188099
10250-3337;268;25;143;412;107200;1748;3471;1568416;-338780
10251+6843;30;25;109;266;12000;2294;4098;1572018;684671
10252-4252;75;25;98;303;30000;2551;3234;1568428;-431333
10253+1743;31;34;79;91;9118;4304;8681;1570255;174657
10257-3949;78;25;97;298;31200;2577;3255;1569742;-400838
10257-4338;322;1543;9463;12183;2087;1631;7767;1569638;-439046
10257+1257;25;45;51;163;5556;8824;3129;1571123;127017
10257+4005;25;25;104;137;10000;2404;7591;1571804;398369
10260-3115;25;25;58;218;10000;4310;2661;1570778;-315215
10261+2635;25;45;56;105;5556;8036;5333;1572234;263371
10261+2000;25;30;72;100;8333;4167;7200;1572160;197598
10263+2228A;25;72;46;143;3472;15652;3217;1572742;222125
10264+2621;25;27;56;251;9259;4821;2231;1573163;260991
10265+2944;31;28;40;213;11071;7000;1878;1573375;294905
10266-3121;35;25;48;108;14000;5208;4444;1572246;-316073
10266+5203;25;25;37;130;10000;6757;2846;1574491;518040
10267-5042;25;44;73;292;5682;6027;2500;1571849;-509701
10267+7408;25;25;66;143;10000;3788;4615;1577001;738859
10267+7610;25;25;59;139;10000;4237;4245;1577639;759220
10267+1952;25;27;73;145;9259;3699;5034;1573742;196206
