ra_sdss,dec_sdss,ra_iras,dec_iras,specobjid,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6548_flux,nii_6584_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux,class,subclass,galname,fnu_12,fnu_25,fnu_60,fnu_100,rat_12_25,rat_25_60,rat_60_100,Ejey_OHb,Ejex_NH,Ejex_SH,Ejex_OH,Log_12_25,EtiqRef
175.91217,-1.6469538,175.9105,-1.6459141,370509889409148928,0.0429443,2178.482,354.3022,63.30251,286.6916,864.728,319.6256,241.9759,42.31616,b'GALAXY',b'STARBURST',11410-0122,0.25,0.31,0.68,1.22,0.8064516,0.45588234,0.55737704,-1.722225240466537,-0.637632688105645,-1.3555910593091707,-3.9412145367642797,-0.21511137,
178.8777,-1.2614167,178.87593,-1.2608167,371703139671238656,0.01927742,5208.829,1129.675,217.0928,885.8455,2671.915,806.9395,731.309,97.33469,b'GALAXY',b'STARFORMING',11529-0058,0.27,0.37,0.76,1.61,0.7297297,0.4868421,0.47204968,-1.6493603478251069,-0.38122379654539906,-1.2197106389222625,-3.9799548975491073,-0.31508106,
179.91312,-3.6814183,179.91261,-3.6836777,372730358375933952,0.01941762,1770.802,401.5419,73.32132,201.8014,608.6797,258.8668,188.0181,23.08116,b'GALAXY',b'STARBURST',11570-0324,0.39,0.5,0.96,2.01,0.78,0.5208333,0.47761193,-1.7004604605141045,-0.7815598083254592,-1.3768867632413395,-4.340171129948126,-0.2484614,
180.09621,-1.0977154,180.09647,-1.0995139,372784234445694976,0.004941233,893.149,211.5803,17.51959,69.53524,209.7343,66.49968,39.68343,12.47577,b'GALAXY',b'STARFORMING',11578-0049,0.81,1.27,16.65,46.34,0.63779527,0.07627628,0.35930082,-2.4912849120530822,-1.1625760116178567,-2.1295883636498205,-4.270965057081844,-0.44973794,
183.71352,-3.4895004,183.71371,-3.490697,373802657074145280,0.03379537,4441.042,710.481,1284.987,1224.651,3693.831,599.2844,623.1901,189.1069,b'GALAXY',b'AGN',12122-0312,0.25,0.58,3.7,4.74,0.43103448,0.15675676,0.7805907,0.5925616750982147,0.10211091271697066,-1.2900119503410405,-3.1563318489477403,-0.8415672,
183.66775,-2.4484036,183.66548,-2.447653,375033284557563904,0.02522332,368.6739,87.5827,21.44078,39.37206,118.7552,49.3099,33.75171,7.322212,b'GALAXY',b'STARFORMING',12120-0210,0.32,0.46,0.56,1.66,0.6956522,0.8214286,0.33734939,-1.4072887737165742,-0.8465123616050938,-1.4903298918819756,-3.9190000453582208,-0.36290547,
192.0544,-3.3332671,192.05508,-3.3325908,378302677114710016,0.003738148,4808.221,1358.307,319.9759,568.9114,1715.968,748.1605,548.5792,93.18887,b'GALAXY',b'STARFORMING',12456-0303,0.71,2.43,15.18,21.69,0.29218107,0.16007905,0.6998617,-1.4457486698582216,-0.7440139172749093,-1.3104739699512131,-3.9434541462574395,-1.2303816,
192.05679,-3.3327148,192.05508,-3.3325908,379506367435663360,0.003757023,11471.43,3136.074,1700.553,1402.634,4230.667,1460.049,1166.914,105.2682,b'GALAXY',b'STARBURST',12456-0303,0.71,2.43,15.18,21.69,0.29218107,0.16007905,0.6998617,-0.6120182068653766,-0.7111640028309203,-1.4740311703332234,-4.69110349618406,-1.2303816,
198.65753,-3.3076371,198.65555,-3.3065002,382821394875967488,0.04178784,1382.246,256.0322,55.09825,149.1465,449.8604,172.2795,134.1515,17.81977,b'GALAXY',b'STARFORMING',13120-0302,0.25,0.35,0.89,1.67,0.71428573,0.39325842,0.5329341,-1.5361852626008405,-0.8361918741335673,-1.506472383698012,-4.351156476268207,-0.3364722,Infrarroja
200.60886,-2.4182707,200.60913,-2.4180813,383973403150804992,0.02319018,3593.997,809.8279,124.5564,494.6266,1491.908,452.4842,369.6613,62.19915,b'GALAXY',b'STARFORMING',13198-0209,0.25,0.33,1.16,2.2,0.75757575,0.28448275,0.5272727,-1.8720631305819417,-0.5928732399470574,-1.4751028459271087,-4.056678898561712,-0.27763176,
236.7518,-0.98489841,236.75108,-0.9867295,385114146481399808,0.02974186,1228.768,238.0331,42.41592,163.4754,493.0796,133.6054,82.26322,33.013,b'GALAXY',b'STARFORMING',15444-0049,0.25,0.34,0.78,2.3,0.7352941,0.43589744,0.33913043,-1.7248859761674409,-0.6267608525454178,-1.7390973384976678,-3.616865897100982,-0.30748472,
238.20342,-0.52491841,238.203,-0.5235759,386267809073620992,0.07957811,1073.56,209.8395,47.94415,149.8504,451.9835,141.7525,104.0147,33.47515,b'GALAXY',b'STARFORMING',15502-0022,0.25,0.43,0.78,1.79,0.5813953,0.55128205,0.43575418,-1.4763061609868746,-0.578754014082792,-1.4743507612940219,-3.46793213517605,-0.5423243,
245.17725,0.51615416,245.17946,0.5170043,389723849014405120,0.04720536,2164.534,375.532,75.25017,261.0229,787.3055,300.21,226.3452,51.32317,b'GALAXY',b'STARBURST',16181+0038,0.25,0.25,0.98,1.99,1.0,0.25510204,0.4924623,-1.6075255245176079,-0.7250082002013681,-1.4136042053911753,-3.7418180676438575,0.0,
252.08439,62.976435,252.08488,62.976345,393022933754210304,0.0149755,5413.769,1058.584,221.8488,629.3406,1898.237,786.5762,602.0089,85.30577,b'GALAXY',b'STARBURST',16478+6303,0.25,0.49,4.4,8.62,0.5102041,0.111363634,0.5104408,-1.562691376257643,-0.761684149406464,-1.3606602080750452,-4.150458706284067,-0.6729445,
255.76447,61.043912,255.7656,61.041496,395240924944295936,0.01141363,442.6076,100.3276,16.52507,48.19801,145.3763,65.54472,45.78485,6.409605,b'GALAXY',b'STARFORMING',17024+6106,0.25,0.25,0.26,1.22,1.0,0.96153843,0.21311475,-1.8035622098560784,-0.8270221289737026,-1.3801886973881896,-4.234885952161319,0.0,
257.19047,62.043371,257.18845,62.04216,395341253954267136,0.0261576,1377.325,165.9293,80.17754,305.4866,921.418,239.0011,213.9576,56.16546,b'GALAXY',b'STARFORMING',17082+6206,0.25,0.31,2.99,5.29,0.8064516,0.10367893,0.5652174,-0.7273183682435128,-0.11564880013736803,-1.112097539865423,-3.199596514000293,-0.21511137,
260.68254,62.166096,260.6801,62.16771,396341536234694656,0.02829885,310.4008,57.71002,22.60693,57.76189,174.2232,75.74236,55.92479,9.440608,b'GALAXY',b'STARFORMING',17222+6212,0.25,0.25,0.59,1.87,1.0,0.42372882,0.315508,-0.9371743188403894,-0.2911912632656271,-0.8575872185129796,-3.4928439807622875,0.0,
260.10726,62.60368,260.11038,62.604168,396353081106786304,0.01202988,3473.595,935.6642,364.0917,361.8697,1091.482,548.9383,404.7112,48.09523,b'GALAXY',b'STARBURST',17199+6239,0.39,0.25,0.6,0.89,1.56,0.41666666,0.6741573,-0.9438508924374474,-0.8713176744843615,-1.292649156173227,-4.279762355899121,0.4446858,
257.75136,56.933729,257.75223,56.934612,399768713961695232,0.02887871,1545.804,352.4182,98.41009,183.4556,553.3445,242.5939,172.056,23.07287,b'GALAXY',b'STARBURST',17101+5659,0.25,0.25,0.88,1.75,1.0,0.2840909,0.50285715,-1.2756751991337227,-0.7409828216631702,-1.3158648925963652,-4.2046419738903085,0.0,
259.83315,57.900299,259.83002,57.89844,399851452211685376,0.02894859,407.9001,49.05937,20.29268,74.62267,225.0792,84.99622,66.49619,18.11251,b'GALAXY',b'STARFORMING',17185+5756,0.25,0.25,0.59,0.97,1.0,0.42372882,0.6082474,-0.8827709674430994,-0.3082340776055521,-0.9904867667970841,-3.1144194317300613,0.0,
262.09932,57.545419,262.10245,57.545166,403172252708792320,0.02854834,6157.592,1590.645,1747.754,474.3666,1430.799,1027.035,727.602,153.972,b'GALAXY',b'STARBURST',17275+5735,0.25,0.15,0.96,1.67,1.6666666,0.15625,0.5748503,0.09419194071261018,-1.173116858095239,-1.2554237941124995,-3.6886703033108987,0.5108256,
262.09747,57.545201,262.10245,57.545166,412113209726625792,0.02834904,4262.294,1147.15,1947.721,237.4061,716.0715,729.017,511.3174,140.5015,b'GALAXY',b'STARBURST',17275+5735,0.25,0.15,0.96,1.67,1.6666666,0.15625,0.5748503,0.529379365609497,-1.4974468596100785,-1.234426492316149,-3.412344627104773,0.5108256,Infrarroja
263.20539,56.901275,263.20367,56.901,403206337569253376,0.02936134,1759.784,253.3343,69.26932,271.4491,818.7531,244.7855,183.5556,49.77645,b'GALAXY',b'STARFORMING',17319+5656,0.25,0.25,0.84,1.56,1.0,0.29761904,0.53846157,-1.2967078650675792,-0.47882789062136527,-1.41302651243532,-3.565404372612,0.0,
264.52249,57.118145,264.51953,57.11709,403230801702971392,0.03005031,2232.723,381.3051,116.6507,346.5324,1045.222,343.0485,231.7637,77.85808,b'GALAXY',b'STARFORMING',17372+5708,0.25,0.25,0.9,1.83,1.0,0.2777778,0.4918033,-1.1844158427624134,-0.4726568072341396,-1.3569338170266336,-3.3560895135473574,0.0,
264.24835,55.006835,264.2525,55.006832,405466658564499456,0.01799318,666.1603,154.3269,43.91903,77.43618,233.5654,112.5363,79.64925,13.34287,b'GALAXY',b'STARBURST',17360+5502,0.25,0.25,0.44,1.23,1.0,0.5681818,0.35772356,-1.2567253685368835,-0.7617323397175415,-1.2430690206618236,-3.910548172493273,0.0,
261.60762,58.588874,261.6079,58.589497,412144270930110464,0.02619898,2108.249,517.6678,107.2935,237.7305,717.0502,331.6369,252.3614,46.36135,b'GALAXY',b'STARBURST',17256+5837,0.25,0.25,0.45,0.85,1.0,0.5555556,0.5294118,-1.5737656538066478,-0.792131343524524,-1.2837149522625038,-3.817146886149041,0.0,
260.58168,59.076487,260.58582,59.077667,412188251395221504,0.03005277,740.322,100.0653,43.54732,115.1195,347.227,127.4976,85.58722,31.58743,b'GALAXY',b'STARFORMING',17216+5907,0.25,0.25,0.66,1.35,1.0,0.37878788,0.4888889,-0.8319748099329564,-0.47077061671722714,-1.245394924284579,-3.1543259700441366,0.0,
261.46394,60.19413,261.4608,60.194138,412190450418477056,0.02904564,1753.893,371.5432,100.7862,271.5037,818.918,335.1193,222.6169,57.52164,b'GALAXY',b'STARFORMING',17252+6014,0.26,0.25,0.35,1.15,1.04,0.71428573,0.3043478,-1.3046637012238922,-0.4752733865125117,-1.1457070769120858,-3.4174319428222795,0.039220676,Infrarroja
262.58929,59.639906,262.59348,59.639565,412226459424286720,0.02835876,672.7556,114.8401,1009.038,287.4305,866.9568,209.7466,229.5479,92.82254,b'QSO',b'AGN',17296+5940,0.25,0.09,0.68,1.8,2.7777777,0.13235295,0.37777779,2.1732119546657773,0.539942892397667,-0.4262120826301695,-1.9806926153847857,1.0216513,Seyfert
264.23958,59.200298,264.24017,59.199715,412250648680097792,0.03070261,877.6941,97.00401,21.58116,128.791,388.4633,141.9233,109.366,22.49638,b'GALAXY',b'STARFORMING',17362+5913,0.25,0.25,0.9,1.54,1.0,0.2777778,0.58441556,-1.502931605994323,-0.5287634976749825,-1.2506932624091334,-3.6639437200833807,0.0,Infrarroja
329.53048,1.0088956,329.531,1.0091623,418946402232592384,0.01006923,320.4337,54.51061,37.33774,41.37145,124.7858,67.69489,49.63926,28.56508,b'GALAXY',b'STARFORMING',21555+0046,0.25,0.29,0.71,1.5,0.86206895,0.4084507,0.47333333,-0.3783907502451994,-0.6567407615688409,-1.0046495435537506,-2.417490397884143,-0.14842002,
329.53174,1.00946,329.531,1.0091623,1245359420154603520,0.01035372,738.6551,113.2454,24.83565,83.85429,252.9239,133.5382,92.42877,13.01109,b'GALAXY',b'STARFORMING',21555+0046,0.25,0.29,0.71,1.5,0.86206895,0.4084507,0.47333333,-1.5172770244797624,-0.7854065764923879,-1.184442262082907,-4.039029029510396,-0.14842002,
331.05302,-0.0320986,331.05234,-0.032973766,419008249761654784,0.03260972,3728.051,858.19,177.2982,560.7516,1691.356,508.8239,414.513,84.90539,b'GALAXY',b'STARFORMING',22016-0016,0.25,0.37,0.88,1.5,0.6756757,0.42045453,0.58666664,-1.57699245944967,-0.5040190880999212,-1.3956466826477203,-3.7821032782126442,-0.39204207,
331.05156,-0.031588,331.05234,-0.032973766,1660811262948304896,0.03289863,1074.818,218.1291,77.56268,147.3169,444.3418,168.755,123.74,21.80361,b'GALAXY',b'STARBURST',22016-0016,0.25,0.37,0.88,1.5,0.6756757,0.42045453,0.58666664,-1.0340007056704044,-0.5969766755409023,-1.3014590513942124,-3.8978310714871656,-0.39204207,
346.63215,0.17246415,346.6315,0.1721589,429077296297568256,0.0248903,298.1208,73.50124,16.38265,35.36628,106.6729,45.29649,35.96031,11.06809,b'GALAXY',b'STARFORMING',23039-0005,0.29,0.74,0.78,2.16,0.3918919,0.94871795,0.3611111,-1.5010794288234781,-0.7413958384565146,-1.2998842634775203,-3.2934325800510194,-0.93676925,
